Time (s),Voltage (V)
0.0,0.0
1e-09,0.008
2e-09,0.016
3e-09,0.016
4e-09,0.016
5e-09,0.008
6e-09,0.0
7e-09,0.0
8e-09,0.0
9e-09,0.0
1e-08,0.008
1.1e-08,0.008
1.2e-08,0.016
1.3e-08,0.016
1.4e-08,0.008
1.5e-08,0.0
1.6e-08,0.0
1.7e-08,0.0
1.8e-08,0.0
1.9e-08,0.0
2e-08,0.008
2.1e-08,0.008
2.2e-08,0.008
2.3e-08,0.0
2.4e-08,0.0
2.5e-08,0.0
2.6e-08,0.0
2.7e-08,0.0
2.8e-08,0.008
2.9e-08,0.008
3e-08,0.016
3.1e-08,0.016
3.2e-08,0.008
3.3e-08,0.008
3.4e-08,0.0
3.5e-08,0.0
3.6e-08,0.0
3.7e-08,0.008
3.8e-08,0.008
3.9e-08,0.016
4e-08,0.016
4.1e-08,0.008
4.2e-08,0.0
4.3e-08,0.0
4.4e-08,0.0
4.5e-08,0.0
4.6e-08,0.0
4.7e-08,0.008
4.8e-08,0.016
4.9e-08,0.024
5e-08,0.024
5.1e-08,0.016
5.2e-08,0.008
5.3e-08,0.0
5.4e-08,0.0
5.5e-08,0.0
5.6e-08,0.0
5.7e-08,0.008
5.8e-08,0.016
5.9e-08,0.024
6e-08,0.024
6.1e-08,0.016
6.2e-08,0.0
6.3e-08,0.0
6.4e-08,0.0
6.5e-08,0.0
6.6e-08,0.0
6.7e-08,0.0
6.8e-08,0.016
6.9e-08,0.016
7e-08,0.016
7.1e-08,0.016
7.2e-08,0.008
7.3e-08,0.0
7.4e-08,0.0
7.5e-08,0.0
7.6e-08,0.0
7.7e-08,0.0
7.8e-08,0.008
7.9e-08,0.016
8e-08,0.008
8.1e-08,0.008
8.2e-08,0.0
8.3e-08,0.0
8.4e-08,0.0
8.5e-08,0.0
8.6e-08,0.0
8.7e-08,0.0
8.8e-08,0.008
8.9e-08,0.008
9e-08,0.008
9.1e-08,0.008
9.2e-08,0.008
9.3e-08,0.008
9.4e-08,0.008
9.5e-08,0.008
9.6e-08,0.0
9.7e-08,0.0
9.8e-08,0.0
9.9e-08,0.0
1e-07,0.0
1.01e-07,0.008
1.02e-07,0.008
1.03e-07,0.008
1.04e-07,0.008
1.05e-07,0.008
1.06e-07,0.0
1.07e-07,0.0
1.08e-07,0.0
1.09e-07,0.0
1.1e-07,0.0
1.11e-07,0.0
1.12e-07,0.008
1.13e-07,0.008
1.14e-07,0.016
1.15e-07,0.016
1.16e-07,0.008
1.17e-07,0.0
1.18e-07,0.0
1.19e-07,0.0
1.2e-07,0.0
1.21e-07,0.0
1.22e-07,0.008
1.23e-07,0.016
1.24e-07,0.016
1.25e-07,0.016
1.26e-07,0.008
1.27e-07,0.0
1.28e-07,0.0
1.29e-07,-0.008
1.3e-07,-0.008
1.31e-07,0.0
1.32e-07,0.0
1.33e-07,0.008
1.34e-07,0.016
1.35e-07,0.016
1.36e-07,0.008
1.37e-07,0.0
1.38e-07,0.0
1.39e-07,0.0
1.4e-07,0.0
1.41e-07,0.0
1.42e-07,0.0
1.43e-07,0.008
1.44e-07,0.016
1.45e-07,0.016
1.46e-07,0.016
1.47e-07,0.008
1.48e-07,0.0
1.49e-07,0.0
1.5e-07,0.0
1.51e-07,0.0
1.52e-07,0.0
1.53e-07,0.008
1.54e-07,0.008
1.55e-07,0.016
1.56e-07,0.016
1.57e-07,0.008
1.58e-07,0.008
1.59e-07,0.0
1.6e-07,0.0
1.61e-07,0.0
1.62e-07,0.008
1.63e-07,0.008
1.64e-07,0.008
1.65e-07,0.008
1.66e-07,0.008
1.67e-07,0.008
1.68e-07,0.008
1.69e-07,0.008
1.7e-07,0.008
1.71e-07,0.008
1.72e-07,0.008
1.73e-07,0.008
1.74e-07,0.0
1.75e-07,0.0
1.76e-07,0.0
1.77e-07,0.008
1.78e-07,0.008
1.79e-07,0.016
1.8e-07,0.016
1.81e-07,0.008
1.82e-07,0.008
1.83e-07,0.0
1.84e-07,0.0
1.85e-07,0.0
1.86e-07,0.0
1.87e-07,0.0
1.88e-07,0.008
1.89e-07,0.008
1.9e-07,0.016
1.91e-07,0.008
1.92e-07,0.008
1.93e-07,0.008
1.94e-07,0.0
1.95e-07,0.0
1.96e-07,0.0
1.97e-07,0.008
1.98e-07,0.008
1.99e-07,0.008
2e-07,0.008
2.01e-07,0.008
2.02e-07,0.008
2.03e-07,0.008
2.04e-07,0.008
2.05e-07,0.008
2.06e-07,0.008
2.07e-07,0.008
2.08e-07,0.008
2.09e-07,0.008
2.1e-07,0.008
2.11e-07,0.008
2.12e-07,0.008
2.13e-07,0.008
2.14e-07,0.008
2.15e-07,0.008
2.16e-07,0.008
2.17e-07,0.008
2.18e-07,0.0
2.19e-07,0.0
2.2e-07,0.008
2.21e-07,0.008
2.22e-07,0.008
2.23e-07,0.008
2.24e-07,0.008
2.25e-07,0.008
2.26e-07,0.008
2.27e-07,0.008
2.28e-07,0.0
2.29e-07,0.0
2.3e-07,0.0
2.31e-07,0.0
2.32e-07,0.0
2.33e-07,0.008
2.34e-07,0.016
2.35e-07,0.024
2.36e-07,0.024
2.37e-07,0.016
2.38e-07,0.0
2.39e-07,0.0
2.4e-07,0.0
2.41e-07,0.0
2.42e-07,0.0
2.43e-07,0.008
2.44e-07,0.016
2.45e-07,0.024
2.46e-07,0.024
2.47e-07,0.016
2.48e-07,0.008
2.49e-07,0.0
2.5e-07,-0.008
2.51e-07,-0.008
2.52e-07,0.0
2.53e-07,0.008
2.54e-07,0.016
2.55e-07,0.024
2.56e-07,0.016
2.57e-07,0.008
2.58e-07,0.0
2.59e-07,0.0
2.6e-07,-0.008
2.61e-07,-0.008
2.62e-07,0.0
2.63e-07,0.008
2.64e-07,0.016
2.65e-07,0.024
2.66e-07,0.024
2.67e-07,0.016
2.68e-07,0.0
2.69e-07,0.0
2.7e-07,-0.008
2.71e-07,-0.008
2.72e-07,0.0
2.73e-07,0.0
2.74e-07,0.016
2.75e-07,0.024
2.76e-07,0.024
2.77e-07,0.016
2.78e-07,0.008
2.79e-07,0.0
2.8e-07,0.0
2.81e-07,0.0
2.82e-07,0.0
2.83e-07,0.008
2.84e-07,0.016
2.85e-07,0.024
2.86e-07,0.024
2.87e-07,0.016
2.88e-07,0.008
2.89e-07,0.0
2.9e-07,0.0
2.91e-07,0.0
2.92e-07,0.0
2.93e-07,0.0
2.94e-07,0.008
2.95e-07,0.016
2.96e-07,0.016
2.97e-07,0.016
2.98e-07,0.008
2.99e-07,0.008
3e-07,0.0
3.01e-07,0.0
3.02e-07,0.0
3.03e-07,0.0
3.04e-07,0.008
3.05e-07,0.008
3.06e-07,0.016
3.07e-07,0.016
3.08e-07,0.016
3.09e-07,0.008
3.1e-07,0.0
3.11e-07,0.0
3.12e-07,0.0
3.13e-07,0.0
3.14e-07,0.008
3.15e-07,0.016
3.16e-07,0.024
3.17e-07,0.024
3.18e-07,0.016
3.19e-07,0.008
3.2e-07,0.0
3.21e-07,0.0
3.22e-07,0.0
3.23e-07,0.0
